0,0.14,"(29, 3)","(22, 22)",5,71,431,507,12,85,242,339
1,0.02,"(20, 10)","(16, 28)",5,111,200,316,6,64,182,252
2,0.02,"(23, 10)","(9, 20)",7,171,325,503,14,55,112,181
3,0.12,"(12, 3)","(0, 9)",11,36,48,95,6,43,36,85
4,0.1,"(3, 12)","(4, 10)",6,31,17,54,3,67,61,131
5,0.02,"(4, 3)","(25, 16)",11,61,140,212,6,175,323,504
6,0.16,"(24, 26)","(23, 3)",8,61,175,244,5,40,102,147
7,0.16,"(22, 4)","(20, 20)",4,36,86,126,6,79,215,300
8,0.1,"(3, 3)","(0, 16)",21,31,81,133,13,31,37,81
9,0.1,"(26, 2)","(20, 6)",30,36,63,129,7,46,40,93
10,0.16,"(27, 23)","(0, 5)",9,36,74,119,6,64,233,303
11,0.18,"(27, 15)","(25, 18)",12,26,50,88,15,37,28,80
12,0.04,"(8, 29)","(3, 7)",9,131,196,336,6,79,227,312
13,0.02,"(21, 4)","(21, 25)",5,86,167,258,12,70,203,285
14,0.2,"(16, 26)","(12, 2)",3,46,97,146,14,70,220,304
15,0.02,"(5, 17)","(15, 16)",12,151,208,371,5,79,147,231
16,0.16,"(0, 12)","(24, 22)",14,66,246,326,7,82,293,382
17,0.06,"(10, 3)","(11, 28)",6,76,158,240,10,76,158,244
18,0.12,"(17, 5)","(12, 13)",4,51,99,154,12,70,89,171
19,0.12,"(27, 18)","(16, 1)",4,46,175,225,8,79,177,264
20,0.1,"(19, 0)","(20, 13)",10,61,231,302,6,46,48,100
21,0.18,"(12, 3)","(18, 7)",7,111,574,692,7,76,186,269
22,0.02,"(19, 5)","(25, 12)",11,146,177,334,17,70,123,210
23,0.12,"(4, 21)","(17, 5)",2,51,228,281,2,49,64,115
24,0.04,"(22, 0)","(13, 12)",9,121,179,309,17,64,149,230
25,0.06,"(27, 6)","(23, 17)",11,86,128,225,8,82,91,181
26,0.08,"(4, 18)","(27, 3)",33,26,93,152,9,97,314,420
27,0.1,"(11, 2)","(6, 14)",6,56,149,211,16,70,87,173
28,0.08,"(28, 15)","(4, 1)",12,91,187,290,9,58,92,159
29,0.12,"(27, 3)","(29, 3)",5,21,46,72,7,40,44,91
30,0.06,"(22, 24)","(29, 11)",8,31,133,172,8,70,122,200
31,0.04,"(11, 22)","(9, 2)",3,121,155,279,5,70,202,277
32,0.06,"(11, 26)","(17, 20)",5,106,173,284,11,97,210,318
33,0.12,"(5, 20)","(4, 11)",6,51,56,113,12,55,99,166
34,0.04,"(27, 1)","(20, 9)",6,61,166,233,8,88,205,301
35,0.08,"(2, 7)","(29, 29)",6,6,52,64,7,31,60,98
36,0.04,"(4, 11)","(16, 1)",12,71,201,284,6,91,140,237
37,0.04,"(18, 8)","(1, 8)",4,66,127,197,5,79,77,161
38,0.18,"(12, 18)","(12, 7)",9,101,340,450,23,94,227,344
39,0.04,"(9, 28)","(2, 18)",5,136,287,428,8,67,127,202
40,0.06,"(7, 11)","(19, 5)",11,81,208,300,13,73,111,197
41,0.02,"(18, 13)","(26, 14)",8,46,83,137,9,142,245,396
42,0.06,"(21, 9)","(18, 5)",13,106,219,338,5,61,68,134
43,0.12,"(7, 24)","(2, 22)",13,41,36,90,5,34,13,52
44,0.1,"(18, 0)","(4, 12)",15,56,112,183,2,73,227,302
45,0.1,"(28, 24)","(11, 23)",4,26,53,83,6,76,190,272
46,0.18,"(16, 6)","(1, 19)",11,96,300,407,11,67,196,274
47,0.18,"(18, 24)","(8, 0)",10,31,96,137,7,37,75,119
48,0.12,"(22, 16)","(22, 25)",9,56,125,190,11,64,111,186
49,0.2,"(21, 6)","(5, 26)",10,46,93,149,3,52,92,147
50,0.08,"(7, 2)","(3, 21)",4,11,34,49,5,61,51,117
51,0.08,"(16, 14)","(5, 9)",7,36,84,127,4,70,96,170
52,0.16,"(20, 27)","(14, 3)",3,41,126,170,3,55,173,231
53,0.14,"(5, 15)","(28, 12)",4,86,363,453,10,67,192,269
54,0.06,"(19, 9)","(8, 0)",7,71,181,259,8,103,182,293
55,0.06,"(19, 4)","(0, 0)",6,16,86,108,6,37,143,186
56,0.14,"(22, 24)","(22, 4)",12,51,137,200,9,76,164,249
57,0.12,"(0, 12)","(27, 20)",6,71,291,368,4,58,95,157
58,0.1,"(15, 13)","(0, 12)",10,26,42,78,9,40,36,85
59,0.06,"(8, 27)","(2, 26)",4,126,254,384,12,40,33,85
60,0.04,"(14, 27)","(10, 15)",9,111,232,352,9,55,122,186
61,0.1,"(3, 17)","(9, 24)",4,31,91,126,4,115,308,427
62,0.08,"(3, 11)","(26, 15)",8,76,125,209,10,58,163,231
63,0.08,"(15, 17)","(6, 21)",8,21,51,80,11,61,143,215
64,0.04,"(23, 23)","(2, 9)",6,61,108,175,13,82,102,197
65,0.08,"(3, 7)","(17, 16)",6,46,84,136,7,100,236,343
66,0.16,"(12, 23)","(25, 21)",10,41,206,257,9,82,367,458
67,0.06,"(20, 11)","(7, 5)",9,86,118,213,4,64,170,238
68,0.18,"(10, 8)","(13, 6)",9,46,145,200,5,67,77,149
69,0.18,"(24, 16)","(3, 0)",11,36,70,117,16,37,58,111
70,0.1,"(29, 19)","(1, 1)",6,21,56,83,5,40,54,99
71,0.02,"(5, 8)","(4, 26)",3,151,161,315,6,91,111,208
72,0.02,"(16, 23)","(17, 6)",12,81,144,237,4,109,170,283
73,0.12,"(2, 16)","(12, 13)",4,116,193,313,5,61,103,169
74,0.2,"(2, 19)","(27, 17)",12,71,275,358,6,61,203,270
75,0.04,"(22, 7)","(29, 19)",4,46,131,181,4,58,111,173
76,0.14,"(16, 14)","(17, 10)",4,46,58,108,3,64,56,123
77,0.08,"(27, 21)","(1, 24)",5,41,111,157,4,79,107,190
78,0.04,"(18, 24)","(13, 22)",5,6,14,25,28,34,37,99
79,0.16,"(8, 11)","(9, 0)",5,26,47,78,18,52,170,240
80,0.18,"(28, 26)","(14, 4)",5,46,203,254,18,58,192,268
81,0.16,"(19, 7)","(13, 3)",9,51,87,147,3,55,125,183
