test,alpha,bot_pos,rat_pos,neighbor_sensings_1,ping_tries_1,moves_1,total_actions_1,neighbor_sensings_2,ping_tries_2,moves_2,total_actions_2
0,0.08,"(22, 0)","(12, 24)",5,95,99,199,5,111,83,199
1,0.04,"(16, 8)","(5, 14)",4,82,85,171,4,96,68,168
2,0.14,"(0, 12)","(21, 15)",12,76,87,175,16,111,105,232
3,0.18,"(11, 11)","(22, 28)",7,58,64,129,5,141,129,275
4,0.08,"(3, 21)","(12, 25)",19,89,107,215,11,96,88,195
5,0.08,"(16, 14)","(9, 4)",12,127,138,277,5,121,102,228
6,0.1,"(3, 10)","(29, 0)",5,88,92,185,6,161,141,308
7,0.14,"(6, 20)","(6, 8)",3,83,85,171,7,66,61,134
8,0.02,"(6, 17)","(18, 14)",8,174,181,363,5,176,155,336
9,0.12,"(27, 20)","(27, 28)",20,58,77,155,10,51,43,104
10,0.2,"(27, 9)","(16, 22)",5,93,97,195,3,96,79,178
11,0.04,"(24, 10)","(27, 11)",5,61,65,131,6,76,46,128
12,0.2,"(25, 11)","(18, 15)",21,82,102,205,19,31,34,84
13,0.08,"(9, 2)","(4, 26)",11,72,82,165,9,96,89,194
14,0.16,"(8, 29)","(2, 7)",4,150,153,307,6,96,83,185
15,0.02,"(23, 2)","(24, 17)",6,117,122,245,14,76,61,151
16,0.12,"(27, 16)","(23, 20)",16,45,60,121,6,66,44,116
17,0.02,"(25, 24)","(21, 15)",5,127,131,263,6,106,66,178
18,0.08,"(1, 13)","(28, 10)",7,164,170,341,8,96,81,185
19,0.06,"(29, 3)","(10, 9)",5,89,93,187,4,131,94,229
20,0.2,"(7, 20)","(9, 18)",23,40,62,125,10,36,31,77
21,0.04,"(20, 10)","(7, 4)",10,90,99,199,7,91,73,171
22,0.16,"(2, 2)","(16, 25)",4,78,81,163,6,81,62,149
23,0.14,"(25, 16)","(28, 20)",7,149,155,311,6,111,89,206
24,0.08,"(22, 20)","(0, 6)",5,69,73,147,12,136,121,269
25,0.2,"(6, 9)","(14, 11)",4,82,85,171,6,46,39,91
26,0.02,"(11, 5)","(26, 17)",7,144,150,301,10,96,84,190
27,0.16,"(10, 0)","(5, 8)",2,126,127,255,6,101,81,188
28,0.18,"(25, 20)","(13, 22)",12,108,119,239,6,81,57,144
29,0.2,"(19, 4)","(1, 16)",23,65,87,175,17,86,86,189
30,0.02,"(1, 4)","(13, 2)",16,143,158,317,9,126,85,220
31,0.08,"(28, 17)","(14, 29)",5,102,106,213,4,226,206,436
32,0.14,"(22, 19)","(27, 18)",5,32,36,73,6,36,19,61
33,0.2,"(7, 20)","(12, 17)",6,8,13,27,4,36,25,65
34,0.04,"(24, 22)","(19, 29)",6,100,105,211,9,251,227,487
35,0.1,"(26, 25)","(18, 27)",7,15,21,43,17,96,73,186
36,0.04,"(3, 14)","(24, 17)",8,69,76,153,9,66,56,131
37,0.1,"(16, 19)","(2, 5)",2,30,31,63,3,146,126,275
38,0.18,"(0, 19)","(16, 18)",3,162,164,329,5,86,74,165
39,0.06,"(15, 27)","(21, 28)",3,138,140,281,9,146,136,291
40,0.2,"(5, 15)","(1, 1)",20,151,170,341,17,126,114,257
41,0.18,"(22, 6)","(16, 13)",6,13,18,37,4,76,66,146
42,0.06,"(10, 0)","(24, 9)",3,124,126,253,17,106,99,222
43,0.04,"(17, 17)","(7, 14)",16,102,117,235,9,86,60,155
44,0.1,"(12, 8)","(22, 10)",11,108,118,237,16,121,113,250
45,0.14,"(24, 27)","(1, 22)",10,111,120,241,5,91,80,176
46,0.02,"(16, 0)","(19, 26)",6,202,207,415,3,151,113,267
47,0.12,"(11, 4)","(22, 14)",7,68,74,149,12,61,58,131
48,0.06,"(5, 26)","(2, 25)",7,82,88,177,6,61,33,100
49,0.18,"(29, 14)","(4, 29)",15,61,75,151,14,166,165,345
50,0.06,"(26, 23)","(22, 25)",4,109,112,225,7,81,64,152
51,0.16,"(6, 14)","(24, 15)",14,109,122,245,7,101,85,193
52,0.14,"(26, 15)","(2, 29)",5,128,132,265,6,116,102,224
53,0.12,"(3, 3)","(12, 28)",5,76,80,161,10,141,122,273
54,0.1,"(19, 17)","(1, 21)",9,85,93,187,8,161,143,312
55,0.14,"(3, 28)","(11, 22)",6,115,120,241,3,61,46,110
56,0.12,"(0, 9)","(2, 10)",6,6,11,23,10,61,53,124
57,0.18,"(18, 4)","(2, 9)",4,99,102,205,7,76,55,138
58,0.08,"(23, 2)","(22, 17)",15,139,153,307,8,56,53,117
59,0.18,"(8, 7)","(16, 5)",5,127,131,263,9,101,89,199
60,0.2,"(15, 29)","(19, 5)",7,112,118,237,17,136,128,281
61,0.16,"(7, 25)","(26, 29)",8,134,141,283,13,86,78,177
62,0.06,"(13, 20)","(14, 1)",4,61,64,129,4,116,96,216
