test,alpha,bot_pos,rat_pos,neighbor_sensings_1,ping_tries_1,moves_1,total_actions_1,neighbor_sensings_2,ping_tries_2,moves_2,total_actions_2
0,0.18,"(7, 22)","(1, 20)",4,16,19,39,8,101,93,202
1,0.16,"(25, 12)","(27, 20)",16,160,175,351,6,72,60,138
2,0.1,"(8, 25)","(9, 27)",5,21,25,51,9,32,24,65
3,0.1,"(16, 28)","(26, 17)",6,82,87,175,4,48,37,89
4,0.2,"(0, 22)","(26, 29)",11,113,123,247,45,402,404,851
5,0.1,"(3, 16)","(15, 4)",9,187,195,391,7,82,70,159
6,0.18,"(20, 1)","(18, 19)",9,23,31,63,11,78,73,162
7,0.1,"(16, 10)","(23, 0)",4,94,97,195,10,176,172,358
8,0.02,"(27, 29)","(21, 16)",5,82,86,173,6,160,141,307
9,0.14,"(28, 6)","(6, 21)",5,143,147,295,4,134,122,260
10,0.14,"(6, 16)","(3, 11)",12,136,147,295,5,50,40,95
11,0.16,"(5, 9)","(13, 12)",16,261,276,553,9,33,29,71
12,0.1,"(0, 12)","(24, 26)",10,86,95,191,12,229,215,456
13,0.14,"(22, 27)","(23, 25)",35,12,46,93,5,96,85,186
14,0.16,"(5, 7)","(23, 7)",10,22,31,63,8,136,114,258
15,0.04,"(6, 22)","(20, 18)",11,42,52,105,9,202,199,410
16,0.02,"(16, 15)","(24, 15)",4,205,208,417,4,296,257,557
17,0.02,"(20, 2)","(0, 1)",20,126,145,291,8,137,121,266
18,0.12,"(3, 15)","(2, 29)",10,125,134,269,4,69,59,132
19,0.08,"(16, 15)","(10, 22)",4,8,11,23,6,72,64,142
20,0.06,"(8, 14)","(11, 27)",13,48,60,121,5,136,127,268
21,0.18,"(23, 10)","(29, 2)",7,218,224,449,4,66,55,125
22,0.04,"(25, 14)","(19, 9)",6,27,32,65,14,128,128,270
23,0.08,"(9, 6)","(16, 16)",7,35,41,83,7,70,59,136
24,0.14,"(21, 18)","(3, 18)",9,114,122,245,7,52,47,106
25,0.1,"(26, 13)","(9, 28)",10,478,487,975,12,200,196,408
26,0.14,"(5, 16)","(9, 11)",4,98,101,203,5,102,85,192
27,0.04,"(11, 29)","(0, 11)",10,85,94,189,7,57,52,116
28,0.08,"(0, 13)","(22, 7)",5,60,64,129,37,148,172,357
29,0.16,"(15, 27)","(23, 29)",10,346,355,711,8,245,223,476
30,0.02,"(24, 22)","(20, 25)",7,184,190,381,7,31,25,63
31,0.04,"(17, 18)","(0, 26)",11,127,137,275,13,48,47,108
32,0.08,"(18, 5)","(1, 25)",4,115,118,237,10,94,77,181
33,0.06,"(14, 5)","(19, 19)",2,174,175,351,7,62,46,115
34,0.04,"(24, 20)","(20, 26)",12,191,202,405,8,117,104,229
35,0.2,"(14, 11)","(5, 11)",12,68,79,159,12,101,98,211
36,0.2,"(10, 4)","(3, 3)",10,104,113,227,9,36,32,77
37,0.12,"(29, 12)","(12, 12)",7,159,165,331,10,109,99,218
38,0.1,"(29, 25)","(15, 21)",7,40,46,93,7,146,137,290
39,0.1,"(19, 22)","(3, 22)",11,131,141,283,9,151,127,287
40,0.18,"(7, 16)","(17, 29)",7,47,53,107,21,41,51,113
41,0.16,"(27, 12)","(7, 12)",15,211,225,451,7,67,55,129
42,0.12,"(8, 26)","(29, 3)",9,156,164,329,6,97,89,192
43,0.1,"(28, 26)","(17, 16)",3,25,27,55,8,100,93,201
44,0.14,"(29, 17)","(6, 26)",19,212,230,461,4,121,99,224
45,0.2,"(0, 21)","(20, 6)",4,135,138,277,4,112,99,215
46,0.1,"(24, 23)","(11, 21)",6,86,91,183,3,108,78,189
47,0.16,"(20, 11)","(9, 25)",10,335,344,689,6,105,82,193
48,0.16,"(1, 26)","(19, 5)",8,67,74,149,4,48,39,91
49,0.2,"(0, 6)","(13, 10)",5,66,70,141,4,221,207,432
50,0.04,"(16, 20)","(2, 0)",6,76,81,163,4,58,49,111
51,0.18,"(12, 4)","(27, 0)",10,152,161,323,9,103,95,207
52,0.02,"(23, 11)","(11, 11)",4,176,179,359,7,163,147,317
53,0.04,"(23, 17)","(12, 20)",35,117,151,303,16,94,95,205
