 test, q,bot_pos,button_pos,fire_pos,Winnability, result1, result2, result3, result4, t1, t2, t3, t4, final_path1, final_path2, final_path3, final_path4
0,0.6,"(8, 16)","(14, 6)","(21, 10)",0,0,0,0,0,12,12,12,12,"[(9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (14, 12), (14, 11), (14, 10)]","[(9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (14, 12), (14, 11), (14, 10)]","[(9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (14, 12), (14, 11), (14, 10)]","[(9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (14, 12), (14, 11), (14, 10)]"
1,0.25,"(37, 9)","(17, 30)","(1, 37)",1,1,1,1,1,41,41,41,45,"[(36, 9), (35, 9), (34, 9), (33, 9), (32, 9), (32, 10), (31, 10), (30, 10), (29, 10), (28, 10), (27, 10), (26, 10), (25, 10), (25, 11), (25, 12), (25, 13), (25, 14), (25, 15), (25, 16), (24, 16), (24, 17), (24, 18), (23, 18), (22, 18), (21, 18), (21, 19), (21, 20), (20, 20), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (18, 24), (18, 25), (18, 26), (18, 27), (18, 28), (18, 29), (17, 29), (17, 30)]","[(36, 9), (35, 9), (34, 9), (33, 9), (32, 9), (32, 10), (31, 10), (30, 10), (29, 10), (28, 10), (27, 10), (26, 10), (25, 10), (25, 11), (25, 12), (25, 13), (25, 14), (25, 15), (25, 16), (24, 16), (24, 17), (24, 18), (23, 18), (22, 18), (21, 18), (21, 19), (21, 20), (20, 20), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (18, 24), (18, 25), (18, 26), (18, 27), (18, 28), (18, 29), (17, 29), (17, 30)]","[(36, 9), (35, 9), (34, 9), (33, 9), (32, 9), (32, 10), (31, 10), (30, 10), (29, 10), (28, 10), (27, 10), (26, 10), (25, 10), (25, 11), (25, 12), (25, 13), (25, 14), (25, 15), (25, 16), (24, 16), (24, 17), (24, 18), (23, 18), (22, 18), (21, 18), (21, 19), (21, 20), (20, 20), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (18, 24), (18, 25), (18, 26), (18, 27), (18, 28), (18, 29), (17, 29), (17, 30)]","[(36, 9), (35, 9), (34, 9), (33, 9), (32, 9), (32, 10), (31, 10), (30, 10), (29, 10), (28, 10), (27, 10), (26, 10), (25, 10), (25, 11), (24, 11), (23, 11), (22, 11), (22, 12), (22, 13), (23, 13), (23, 14), (23, 15), (23, 16), (24, 16), (24, 17), (24, 18), (23, 18), (22, 18), (21, 18), (21, 19), (21, 20), (20, 20), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (18, 24), (18, 25), (18, 26), (18, 27), (18, 28), (18, 29), (17, 29), (17, 30)]"
2,1,"(20, 24)","(27, 39)","(25, 1)",1,1,1,1,1,22,22,22,24,"[(20, 25), (20, 26), (20, 27), (20, 28), (20, 29), (20, 30), (20, 31), (20, 32), (20, 33), (20, 34), (21, 34), (22, 34), (23, 34), (24, 34), (25, 34), (25, 35), (25, 36), (25, 37), (25, 38), (26, 38), (27, 38), (27, 39)]","[(20, 25), (20, 26), (20, 27), (20, 28), (20, 29), (20, 30), (20, 31), (20, 32), (20, 33), (20, 34), (21, 34), (22, 34), (23, 34), (24, 34), (25, 34), (25, 35), (25, 36), (25, 37), (25, 38), (26, 38), (27, 38), (27, 39)]","[(20, 25), (20, 26), (20, 27), (20, 28), (20, 29), (20, 30), (20, 31), (20, 32), (20, 33), (20, 34), (21, 34), (22, 34), (23, 34), (24, 34), (25, 34), (25, 35), (25, 36), (25, 37), (25, 38), (26, 38), (27, 38), (27, 39)]","[(20, 25), (20, 26), (20, 27), (20, 28), (20, 29), (20, 30), (20, 31), (20, 32), (20, 33), (20, 34), (20, 35), (20, 36), (20, 37), (20, 38), (20, 39), (21, 39), (22, 39), (23, 39), (24, 39), (25, 39), (25, 38), (26, 38), (27, 38), (27, 39)]"
3,1,"(23, 12)","(10, 17)","(31, 29)",1,1,1,1,1,18,18,18,18,"[(22, 12), (21, 12), (20, 12), (19, 12), (18, 12), (18, 13), (18, 14), (17, 14), (17, 15), (17, 16), (17, 17), (16, 17), (15, 17), (14, 17), (13, 17), (12, 17), (11, 17), (10, 17)]","[(22, 12), (21, 12), (20, 12), (19, 12), (18, 12), (18, 13), (18, 14), (17, 14), (17, 15), (17, 16), (17, 17), (16, 17), (15, 17), (14, 17), (13, 17), (12, 17), (11, 17), (10, 17)]","[(22, 12), (21, 12), (20, 12), (19, 12), (18, 12), (18, 13), (18, 14), (17, 14), (17, 15), (17, 16), (17, 17), (16, 17), (15, 17), (14, 17), (13, 17), (12, 17), (11, 17), (10, 17)]","[(22, 12), (21, 12), (20, 12), (19, 12), (18, 12), (18, 13), (18, 14), (17, 14), (17, 15), (17, 16), (17, 17), (16, 17), (15, 17), (14, 17), (13, 17), (12, 17), (11, 17), (10, 17)]"
4,0.8,"(0, 33)","(0, 17)","(34, 16)",1,1,1,1,1,20,20,20,20,"[(0, 32), (0, 31), (0, 30), (0, 29), (0, 28), (0, 27), (0, 26), (0, 25), (0, 24), (0, 23), (0, 22), (0, 21), (1, 21), (1, 20), (2, 20), (2, 19), (2, 18), (1, 18), (1, 17), (0, 17)]","[(0, 32), (0, 31), (0, 30), (0, 29), (0, 28), (0, 27), (0, 26), (0, 25), (0, 24), (0, 23), (0, 22), (0, 21), (1, 21), (1, 20), (2, 20), (2, 19), (2, 18), (1, 18), (1, 17), (0, 17)]","[(0, 32), (0, 31), (0, 30), (0, 29), (0, 28), (0, 27), (0, 26), (0, 25), (0, 24), (0, 23), (0, 22), (0, 21), (1, 21), (1, 20), (2, 20), (2, 19), (2, 18), (1, 18), (1, 17), (0, 17)]","[(0, 32), (0, 31), (0, 30), (0, 29), (0, 28), (0, 27), (0, 26), (0, 25), (0, 24), (0, 23), (0, 22), (0, 21), (1, 21), (1, 20), (2, 20), (2, 19), (2, 18), (1, 18), (1, 17), (0, 17)]"
5,0.15,"(27, 37)","(33, 22)","(0, 28)",1,1,1,1,1,25,25,25,29,"[(27, 36), (27, 35), (27, 34), (27, 33), (26, 33), (25, 33), (25, 32), (25, 31), (25, 30), (25, 29), (25, 28), (25, 27), (25, 26), (25, 25), (25, 24), (26, 24), (27, 24), (28, 24), (29, 24), (30, 24), (30, 23), (31, 23), (32, 23), (33, 23), (33, 22)]","[(27, 36), (27, 35), (27, 34), (27, 33), (26, 33), (25, 33), (25, 32), (25, 31), (25, 30), (25, 29), (25, 28), (25, 27), (25, 26), (25, 25), (25, 24), (26, 24), (27, 24), (28, 24), (29, 24), (30, 24), (30, 23), (31, 23), (32, 23), (33, 23), (33, 22)]","[(27, 36), (27, 35), (27, 34), (27, 33), (26, 33), (25, 33), (25, 32), (25, 31), (25, 30), (25, 29), (25, 28), (25, 27), (25, 26), (25, 25), (25, 24), (26, 24), (27, 24), (28, 24), (29, 24), (30, 24), (30, 23), (31, 23), (32, 23), (33, 23), (33, 22)]","[(28, 37), (28, 38), (29, 38), (30, 38), (31, 38), (32, 38), (32, 37), (32, 36), (32, 35), (31, 35), (31, 34), (31, 33), (32, 33), (33, 33), (33, 32), (33, 31), (33, 30), (33, 29), (32, 29), (32, 28), (32, 27), (33, 27), (33, 26), (33, 25), (34, 25), (34, 24), (34, 23), (33, 23), (33, 22)]"
6,0.45,"(22, 5)","(2, 29)","(35, 0)",1,1,1,1,1,48,48,48,54,"[(21, 5), (21, 4), (20, 4), (19, 4), (19, 5), (18, 5), (17, 5), (16, 5), (15, 5), (14, 5), (14, 6), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (12, 10), (11, 10), (11, 11), (11, 12), (11, 13), (10, 13), (9, 13), (9, 14), (9, 15), (9, 16), (9, 17), (9, 18), (9, 19), (9, 20), (8, 20), (7, 20), (7, 21), (7, 22), (7, 23), (7, 24), (8, 24), (8, 25), (8, 26), (7, 26), (6, 26), (6, 27), (5, 27), (4, 27), (4, 28), (4, 29), (3, 29), (2, 29)]","[(21, 5), (21, 4), (20, 4), (19, 4), (19, 5), (18, 5), (17, 5), (16, 5), (15, 5), (14, 5), (14, 6), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (12, 10), (11, 10), (11, 11), (11, 12), (11, 13), (10, 13), (9, 13), (9, 14), (9, 15), (9, 16), (9, 17), (9, 18), (9, 19), (9, 20), (8, 20), (7, 20), (7, 21), (7, 22), (7, 23), (7, 24), (8, 24), (8, 25), (8, 26), (7, 26), (6, 26), (6, 27), (5, 27), (4, 27), (4, 28), (4, 29), (3, 29), (2, 29)]","[(21, 5), (21, 4), (20, 4), (19, 4), (19, 5), (18, 5), (17, 5), (16, 5), (15, 5), (14, 5), (14, 6), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (12, 10), (11, 10), (11, 11), (11, 12), (11, 13), (10, 13), (9, 13), (9, 14), (9, 15), (9, 16), (9, 17), (9, 18), (9, 19), (9, 20), (8, 20), (7, 20), (7, 21), (7, 22), (7, 23), (7, 24), (8, 24), (8, 25), (8, 26), (7, 26), (6, 26), (6, 27), (5, 27), (4, 27), (4, 28), (4, 29), (3, 29), (2, 29)]","[(21, 5), (21, 4), (20, 4), (19, 4), (19, 5), (18, 5), (17, 5), (16, 5), (15, 5), (14, 5), (14, 6), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (12, 10), (11, 10), (11, 11), (11, 12), (11, 13), (10, 13), (9, 13), (9, 14), (9, 15), (9, 16), (8, 16), (7, 16), (7, 17), (6, 17), (6, 18), (5, 18), (4, 18), (3, 18), (2, 18), (1, 18), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (0, 23), (0, 24), (0, 25), (0, 26), (0, 27), (1, 27), (2, 27), (3, 27), (4, 27), (4, 28), (4, 29), (3, 29), (2, 29)]"
7,0.1,"(1, 35)","(29, 26)","(16, 28)",1,1,1,1,1,47,47,47,65,"[(1, 34), (1, 33), (2, 33), (2, 32), (2, 31), (2, 30), (2, 29), (2, 28), (3, 28), (4, 28), (5, 28), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (9, 26), (9, 25), (10, 25), (11, 25), (12, 25), (13, 25), (14, 25), (14, 24), (14, 23), (15, 23), (16, 23), (17, 23), (18, 23), (18, 24), (19, 24), (19, 25), (19, 26), (20, 26), (21, 26), (22, 26), (22, 25), (22, 24), (23, 24), (24, 24), (25, 24), (26, 24), (27, 24), (27, 25), (28, 25), (29, 25), (29, 26)]","[(1, 34), (1, 33), (2, 33), (2, 32), (2, 31), (2, 30), (2, 29), (2, 28), (3, 28), (4, 28), (5, 28), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (9, 26), (9, 25), (10, 25), (11, 25), (12, 25), (13, 25), (14, 25), (14, 24), (14, 23), (15, 23), (16, 23), (17, 23), (18, 23), (18, 24), (19, 24), (19, 25), (19, 26), (20, 26), (21, 26), (22, 26), (22, 25), (22, 24), (23, 24), (24, 24), (25, 24), (26, 24), (27, 24), (27, 25), (28, 25), (29, 25), (29, 26)]","[(1, 34), (1, 33), (2, 33), (2, 32), (2, 31), (2, 30), (2, 29), (2, 28), (3, 28), (4, 28), (5, 28), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (9, 26), (9, 25), (10, 25), (11, 25), (12, 25), (13, 25), (14, 25), (14, 24), (14, 23), (15, 23), (16, 23), (17, 23), (18, 23), (18, 24), (19, 24), (19, 25), (19, 26), (20, 26), (21, 26), (22, 26), (22, 25), (22, 24), (23, 24), (24, 24), (25, 24), (26, 24), (27, 24), (27, 25), (28, 25), (29, 25), (29, 26)]","[(1, 34), (1, 33), (2, 33), (2, 32), (2, 31), (2, 30), (2, 29), (2, 28), (3, 28), (3, 27), (3, 26), (3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (3, 20), (3, 19), (3, 18), (3, 17), (3, 16), (4, 16), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (12, 14), (13, 14), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (28, 16), (29, 16), (29, 17), (29, 18), (29, 19), (29, 20), (29, 21), (30, 21), (30, 22), (30, 23), (31, 23), (31, 24), (31, 25), (30, 25), (29, 25), (29, 26)]"
8,0.05,"(4, 24)","(11, 20)","(37, 21)",1,1,1,1,1,11,11,11,11,"[(5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (9, 23), (9, 22), (10, 22), (10, 21), (10, 20), (11, 20)]","[(5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (9, 23), (9, 22), (10, 22), (10, 21), (10, 20), (11, 20)]","[(5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (9, 23), (9, 22), (10, 22), (10, 21), (10, 20), (11, 20)]","[(5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (9, 23), (9, 22), (10, 22), (10, 21), (10, 20), (11, 20)]"
9,0.65,"(16, 26)","(12, 39)","(32, 28)",1,1,1,1,1,19,19,19,19,"[(15, 26), (15, 27), (14, 27), (13, 27), (13, 28), (13, 29), (13, 30), (14, 30), (14, 31), (14, 32), (14, 33), (14, 34), (13, 34), (13, 35), (13, 36), (12, 36), (12, 37), (12, 38), (12, 39)]","[(15, 26), (15, 27), (14, 27), (13, 27), (13, 28), (13, 29), (13, 30), (14, 30), (14, 31), (14, 32), (14, 33), (14, 34), (13, 34), (13, 35), (13, 36), (12, 36), (12, 37), (12, 38), (12, 39)]","[(15, 26), (15, 27), (14, 27), (13, 27), (13, 28), (13, 29), (13, 30), (14, 30), (14, 31), (14, 32), (14, 33), (14, 34), (13, 34), (13, 35), (13, 36), (12, 36), (12, 37), (12, 38), (12, 39)]","[(15, 26), (15, 27), (14, 27), (13, 27), (13, 28), (13, 29), (13, 30), (14, 30), (14, 31), (14, 32), (14, 33), (14, 34), (13, 34), (13, 35), (13, 36), (12, 36), (12, 37), (12, 38), (12, 39)]"
